Configuration,Resolution,Target_FPS,Actual_FPS,Inter_Frame_Delay_ms,Codec,Bitrate_Usb,Host_CPU_Usage_%,Duration_Sec
720p_30fps,720p,30,31,32.26,h265,8M,0.0,20
720p_30fps,720p,30,30,33.33,h265,8M,0.0,20
720p_30fps,720p,30,30,33.33,h265,8M,0.0,20
720p_30fps,720p,30,22,45.45,h265,8M,0.0,20
720p_30fps,720p,30,30,33.33,h265,8M,0.0,20
720p_30fps,720p,30,30,33.33,h265,8M,0.0,20
720p_30fps,720p,30,30,33.33,h265,8M,0.0,20
720p_30fps,720p,30,30,33.33,h265,8M,0.0,20
720p_30fps,720p,30,30,33.33,h265,8M,0.0,20
720p_30fps,720p,30,30,33.33,h265,8M,0.0,20
720p_30fps,720p,30,30,33.33,h265,8M,0.0,20
720p_30fps,720p,30,30,33.33,h265,8M,0.0,20
720p_30fps,720p,30,30,33.33,h265,8M,0.0,20
720p_30fps,720p,30,30,33.33,h265,8M,0.0,20
720p_30fps,720p,30,30,33.33,h265,8M,0.0,20
720p_30fps,720p,30,30,33.33,h265,8M,0.0,20
720p_30fps,720p,30,30,33.33,h265,8M,0.0,20
720p_30fps,720p,30,30,33.33,h265,8M,0.0,20
720p_60fps,720p,60,45,22.22,h265,16M,0.0,20
720p_60fps,720p,60,28,35.71,h265,16M,0.0,20
720p_60fps,720p,60,11,90.91,h265,16M,0.0,20
720p_60fps,720p,60,47,21.28,h265,16M,0.0,20
720p_60fps,720p,60,60,16.67,h265,16M,0.0,20
720p_60fps,720p,60,55,18.18,h265,16M,0.0,20
720p_60fps,720p,60,49,20.41,h265,16M,0.0,20
720p_60fps,720p,60,34,29.41,h265,16M,0.0,20
720p_60fps,720p,60,28,35.71,h265,16M,0.0,20
720p_60fps,720p,60,27,37.04,h265,16M,0.0,20
720p_60fps,720p,60,27,37.04,h265,16M,0.0,20
720p_60fps,720p,60,27,37.04,h265,16M,0.0,20
720p_60fps,720p,60,27,37.04,h265,16M,0.0,20
720p_60fps,720p,60,30,33.33,h265,16M,0.0,20
720p_60fps,720p,60,25,40.00,h265,16M,0.0,20
720p_60fps,720p,60,9,111.11,h265,16M,0.0,20
720p_60fps,720p,60,8,125.00,h265,16M,0.0,20
720p_60fps,720p,60,38,26.32,h265,16M,0.0,20
1080p_30fps,1080p,30,10,100.00,h265,12M,0.0,20
1080p_30fps,1080p,30,11,90.91,h265,12M,0.0,20
1080p_30fps,1080p,30,30,33.33,h265,12M,0.0,20
1080p_30fps,1080p,30,30,33.33,h265,12M,0.0,20
1080p_30fps,1080p,30,24,41.67,h265,12M,0.0,20
1080p_30fps,1080p,30,29,34.48,h265,12M,0.0,20
1080p_30fps,1080p,30,28,35.71,h265,12M,0.0,20
1080p_30fps,1080p,30,30,33.33,h265,12M,0.0,20
1080p_30fps,1080p,30,29,34.48,h265,12M,0.0,20
1080p_30fps,1080p,30,30,33.33,h265,12M,0.0,20
1080p_30fps,1080p,30,30,33.33,h265,12M,0.0,20
1080p_30fps,1080p,30,30,33.33,h265,12M,0.0,20
1080p_30fps,1080p,30,30,33.33,h265,12M,0.0,20
1080p_30fps,1080p,30,30,33.33,h265,12M,0.0,20
1080p_30fps,1080p,30,30,33.33,h265,12M,0.0,20
1080p_30fps,1080p,30,31,32.26,h265,12M,0.0,20
1080p_30fps,1080p,30,30,33.33,h265,12M,0.0,20
1080p_60fps,1080p,60,28,35.71,h265,24M,0.0,20
1080p_60fps,1080p,60,34,29.41,h265,24M,0.0,20
1080p_60fps,1080p,60,58,17.24,h265,24M,0.0,20
1080p_60fps,1080p,60,60,16.67,h265,24M,0.0,20
1080p_60fps,1080p,60,60,16.67,h265,24M,0.0,20
1080p_60fps,1080p,60,60,16.67,h265,24M,0.0,20
1080p_60fps,1080p,60,46,21.74,h265,24M,0.0,20
1080p_60fps,1080p,60,59,16.95,h265,24M,0.0,20
1080p_60fps,1080p,60,56,17.86,h265,24M,0.0,20
1080p_60fps,1080p,60,36,27.78,h265,24M,0.0,20
1080p_60fps,1080p,60,60,16.67,h265,24M,0.0,20
1080p_60fps,1080p,60,60,16.67,h265,24M,0.0,20
1080p_60fps,1080p,60,58,17.24,h265,24M,0.0,20
1080p_60fps,1080p,60,60,16.67,h265,24M,0.0,20
1080p_60fps,1080p,60,60,16.67,h265,24M,0.0,20
1080p_60fps,1080p,60,60,16.67,h265,24M,0.0,20
1080p_60fps,1080p,60,60,16.67,h265,24M,0.0,20
1080p_60fps,1080p,60,60,16.67,h265,24M,0.0,20
