Configuration,Resolution,Target_FPS,Actual_FPS,Inter_Frame_Delay_ms,Codec,Bitrate_Usb,Host_GPU_CPU_Usage_%,Duration_Sec
720p_30fps_2M,720p,30,18,55.56,h265,2M,0.0,30
720p_30fps_2M,720p,30,31,32.26,h265,2M,0.0,30
720p_30fps_2M,720p,30,29,34.48,h265,2M,0.0,30
720p_30fps_2M,720p,30,31,32.26,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,29,34.48,h265,2M,0.0,30
720p_30fps_2M,720p,30,31,32.26,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,29,34.48,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,31,32.26,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_2M,720p,30,30,33.33,h265,2M,0.0,30
720p_30fps_4M,720p,30,22,45.45,h265,4M,0.0,30
720p_30fps_4M,720p,30,29,34.48,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,29,34.48,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,31,32.26,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,29,34.48,h265,4M,0.0,30
720p_30fps_4M,720p,30,31,32.26,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,29,34.48,h265,4M,0.0,30
720p_30fps_4M,720p,30,31,32.26,h265,4M,0.0,30
720p_30fps_4M,720p,30,29,34.48,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,27,37.04,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_4M,720p,30,30,33.33,h265,4M,0.0,30
720p_30fps_8M,720p,30,21,47.62,h265,8M,0.0,30
720p_30fps_8M,720p,30,28,35.71,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,31,32.26,h265,8M,0.0,30
720p_30fps_8M,720p,30,29,34.48,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,31,32.26,h265,8M,0.0,30
720p_30fps_8M,720p,30,29,34.48,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_8M,720p,30,31,32.26,h265,8M,0.0,30
720p_30fps_8M,720p,30,29,34.48,h265,8M,0.0,30
720p_30fps_8M,720p,30,31,32.26,h265,8M,0.0,30
720p_30fps_8M,720p,30,30,33.33,h265,8M,0.0,30
720p_30fps_12M,720p,30,20,50.00,h265,12M,0.0,30
720p_30fps_12M,720p,30,28,35.71,h265,12M,0.0,30
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,30
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,30
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,30
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,30
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,30
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,30
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,30,33.33,h265,12M,0.0,30
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,30
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,30
720p_30fps_12M,720p,30,31,32.26,h265,12M,0.0,30
720p_30fps_12M,720p,30,29,34.48,h265,12M,0.0,30
720p_30fps_16M,720p,30,21,47.62,h265,16M,0.0,30
720p_30fps_16M,720p,30,30,33.33,h265,16M,0.0,30
